"PORTFOLIO_ID","LIMIT_T","OC_DATE","OC_TIME","FUTU_EXCH_TYPE","STOCK_CODE","DETAIL_TYPE","DETAIL_VALUE","STK_BALANCE","RATE_BALANCE","STK_AMOUNT","STOP_PRICE","REMARK","START_PRICE","STRATEGY_VERSION","DK_TYPE"
"2267","1","20150326","92747","1   ","600038","f","46.7018","0.0000","0.0000","700","47.4800","1","0.0000","",""
"2267","1","20150326","92747","1   ","600058","f","20.5500","0.0000","0.0000","1200","20.3500","1","0.0000","",""
"2267","1","20150326","92747","1   ","600143","f","8.7600","0.0000","0.0000","4400","8.5500","1","0.0000","",""
"2267","1","20150326","92747","1   ","600153","f","12.4487","0.0000","0.0000","4900","14.1600","1","0.0000","",""
"2267","1","20150326","92747","1   ","600188","f","14.7000","0.0000","0.0000","1100","15.1600","1","0.0000","",""
"2267","1","20150326","92747","1   ","600309","f","22.3800","0.0000","0.0000","3300","24.0500","1","0.0000","",""
"2267","1","20150326","92747","1   ","600315","f","42.7900","0.0000","0.0000","1600","42.7000","1","0.0000","",""
"2267","1","20150326","92747","1   ","600340","f","54.5000","0.0000","0.0000","1300","55.5500","1","0.0000","",""
"2267","1","20150326","92747","1   ","600348","f","9.5500","0.0000","0.0000","3000","9.6900","1","0.0000","",""
"2267","1","20150326","92747","1   ","600372","f","30.1000","0.0000","0.0000","1200","31.3600","1","0.0000","",""
"2267","1","20150326","92747","1   ","600383","f","9.9300","0.0000","0.0000","13400","11.0100","1","0.0000","",""
"2267","1","20150326","92747","1   ","600395","f","12.6000","0.0000","0.0000","1500","13.0300","1","0.0000","",""
"2267","1","20150326","92747","1   ","600549","f","40.4100","0.0000","0.0000","1000","38.0000","1","0.0000","",""
"2267","1","20150326","92747","1   ","600648","f","34.0000","0.0000","0.0000","800","35.2000","1","0.0000","",""
"2267","1","20150326","92747","1   ","600663","f","37.3000","0.0000","0.0000","1100","37.6100","1","0.0000","",""
"2267","1","20150326","92747","1   ","600893","f","35.6000","0.0000","0.0000","1600","38.2700","1","0.0000","",""
"2267","1","20150326","92747","1   ","601225","f","7.0200","0.0000","0.0000","5500","8.1200","1","0.0000","",""
"2267","1","20150326","92747","1   ","601231","f","39.1100","0.0000","0.0000","300","37.7000","1","0.0000","",""
"2267","1","20150326","92747","1   ","601258","f","8.3700","0.0000","0.0000","3600","8.4300","1","0.0000","",""
"2267","1","20150326","92747","1   ","601333","f","4.8167","0.0000","0.0000","9800","4.8000","1","0.0000","",""
"2267","1","20150326","92747","1   ","601699","f","11.4900","0.0000","0.0000","2500","12.1400","1","0.0000","",""
"2267","1","20150326","92747","1   ","601898","f","6.7100","0.0000","0.0000","4700","6.9000","1","0.0000","",""
"2267","1","20150326","92747","1   ","601958","f","10.7600","0.0000","0.0000","2600","11.4000","1","0.0000","",""
"2267","1","20150326","92747","1   ","603993","f","12.9000","0.0000","0.0000","700","13.6000","1","0.0000","",""
"2267","1","20150326","92747","2   ","000402","f","10.5000","0.0000","0.0000","6800","12.0900","1","0.0000","",""
"2267","1","20150326","92747","2   ","000792","f","29.1100","0.0000","0.0000","1800","29.4000","1","0.0000","",""
"2267","1","20150326","92747","2   ","000937","f","8.4300","0.0000","0.0000","2100","8.7600","1","0.0000","",""
"2267","1","20150326","92747","2   ","000960","f","21.9600","0.0000","0.0000","2200","22.5900","1","0.0000","",""
"2267","1","20150326","92747","2   ","000983","f","8.1600","0.0000","0.0000","4300","8.3600","1","0.0000","",""
"2267","1","20150326","92747","2   ","002146","f","18.2900","0.0000","0.0000","1800","21.0500","1","0.0000","",""
"2267","1","20150326","92747","2   ","002470","f","38.4600","0.0000","0.0000","700","36.8100","1","0.0000","",""
"2267","1","20150326","92747","2   ","002475","f","38.0800","0.0000","0.0000","700","39.1600","1","0.0000","",""
"2267","1","20150326","92747","F4  ","IF1506","f","3928.8000","0.0000","0.0000","1","4068.2000","1","","",""
